,Model,No_arctic_crossing_year,World_crossing_year,gap
0,AWI-CM-1-1-MR,2040.432,2035.125,5.307000000000016
1,CESM2,2030.084,2026.626,3.4580000000000837
2,CESM2-WACCM,2035.742,2032.067,3.6749999999999545
3,CIESM,2039.372,2031.492,7.880000000000109
4,EC-Earth3-Veg-LR,2044.85,2043.028,1.821999999999889
5,FIO-ESM-2-0,2037.829,2033.193,4.635999999999967
6,GFDL-CM4,2032.606,2026.246,6.3599999999999
7,GFDL-ESM4,2047.626,2038.944,8.682000000000016
8,GISS-E2-1-G,2030.006,2027.181,2.8250000000000455
9,HadGEM3-GC31-LL,2029.54,2024.74,4.7999999999999545
10,INM-CM4-8,2036.646,2027.602,9.043999999999869
11,INM-CM5-0,2033.637,2029.827,3.8099999999999454
12,IPSL-CM6A-LR,2040.629,2035.971,4.657999999999902
13,KACE-1-0-G,2034.253,2029.173,5.079999999999927
14,KIOST-ESM,2035.685,2031.443,4.241999999999962
15,MCM-UA-1-0,2046.207,2033.327,12.88000000000011
16,MIROC-ES2L,2036.617,2032.095,4.5219999999999345
17,MIROC6,2034.57,2033.327,1.2429999999999382
18,MPI-ESM1-2-HR,2044.396,2041.833,2.5629999999998745
19,MPI-ESM1-2-LR,2040.203,2034.277,5.925999999999931
20,MRI-ESM2-0,2033.469,2031.587,1.8820000000000618
21,NESM3,2038.855,2035.094,3.7609999999999673
22,NorESM2-LM,2038.887,2034.73,4.156999999999925
23,NorESM2-MM,2042.828,2040.632,2.1959999999999127
24,TaiESM1,2025.483,2024.286,1.196999999999889
25,UKESM1-0-LL,2029.656,2025.568,4.087999999999965
